,id,num_players_5,num_players_25,num_players_50,num_players_200,num_players_500,avg_pot_5,avg_pot_25,avg_pot_50,avg_pot_200,avg_pot_500,pct_flop_5,pct_flop_25,pct_flop_50,pct_flop_200,pct_flop_500,pub_date
0,1,21,36,29,14,0,1.05,6.23,4.79,13.06,2.00,39,26,26,3,-1,2020-09-09 09:32:11.722016+00:00
1,2,8,35,24,13,0,0.55,2.11,5.79,18.34,2.00,42,26,28,1,-1,2020-09-09 09:32:43.184451+00:00
2,3,8,35,24,13,0,0.55,2.11,5.79,18.34,2.00,42,26,28,1,-1,2020-09-09 09:33:35.463425+00:00
3,4,9,35,22,13,0,0.21,4.24,4.92,22.20,2.00,39,27,26,56,-1,2020-09-09 09:34:33.551209+00:00
4,5,10,36,26,12,0,0.37,6.72,6.24,19.44,2.00,50,31,29,48,-1,2020-09-09 09:35:33.494175+00:00
5,6,10,37,25,13,0,0.21,6.89,5.41,10.54,2.00,51,29,28,48,-1,2020-09-09 09:36:33.219889+00:00
6,7,10,37,21,13,0,0.92,2.27,2.62,10.02,2.00,44,26,23,50,-1,2020-09-09 09:37:35.343352+00:00
7,8,10,36,20,13,0,0.32,5.27,7.96,20.56,2.00,9,33,27,1,-1,2020-09-09 09:38:36.212785+00:00
8,9,7,35,20,13,0,0.49,3.90,2.99,22.49,2.00,48,26,27,6,-1,2020-09-09 09:39:33.533660+00:00
9,10,7,32,21,13,0,0.25,6.89,3.43,67.70,2.00,61,31,28,61,-1,2020-09-09 09:40:35.020072+00:00
10,11,7,31,21,13,0,0.20,3.40,18.79,23.75,2.00,47,27,27,1,-1,2020-09-09 09:41:38.891459+00:00
11,12,6,31,22,13,0,0.64,8.05,5.01,18.61,2.00,45,29,28,56,-1,2020-09-09 09:42:38.582461+00:00
12,13,4,30,22,13,0,0.41,4.48,3.30,20.78,2.00,45,36,27,56,-1,2020-09-09 09:43:38.120186+00:00
13,14,4,29,21,13,0,0.25,2.90,10.61,28.03,2.00,51,26,33,56,-1,2020-09-09 09:44:36.810208+00:00
14,15,4,27,22,13,0,0.57,2.26,6.64,14.76,2.00,54,26,29,61,-1,2020-09-09 09:45:37.054296+00:00
15,16,4,27,24,14,0,0.22,3.10,7.14,563.71,2.00,3,29,28,6,-1,2020-09-09 09:46:37.078862+00:00
16,17,4,26,26,14,0,0.82,4.26,4.94,13.82,2.00,54,27,26,1,-1,2020-09-09 09:47:35.260853+00:00
17,18,4,25,29,14,0,0.82,4.41,3.85,16.11,2.00,54,32,27,50,-1,2020-09-09 09:48:33.650347+00:00
18,19,4,27,28,14,0,0.65,5.13,4.93,27.49,2.00,47,35,28,3,-1,2020-09-09 09:49:36.515294+00:00
19,20,4,27,27,14,0,0.68,2.76,10.61,35.77,2.00,48,26,27,6,-1,2020-09-09 09:50:38.030052+00:00
20,21,4,26,27,14,0,0.90,5.22,10.70,32.68,2.00,67,33,31,56,-1,2020-09-09 09:51:36.475905+00:00
21,22,4,26,26,15,0,0.70,5.20,5.48,27.05,2.00,50,32,23,6,-1,2020-09-09 09:52:36.672822+00:00
22,23,5,24,24,14,0,0.73,4.19,3.82,29.43,2.00,51,35,23,56,-1,2020-09-09 09:53:35.354443+00:00
23,24,4,24,23,13,0,0.85,5.03,3.83,22.15,2.00,54,28,23,56,-1,2020-09-09 09:54:35.309700+00:00
24,25,6,24,22,13,0,0.18,1.77,10.20,20.91,2.00,50,24,34,48,-1,2020-09-09 09:55:32.203498+00:00
25,26,7,23,24,12,0,0.21,3.38,5.31,49.71,2.00,3,31,23,6,-1,2020-09-09 09:56:35.242551+00:00
26,27,6,23,24,12,0,0.22,6.56,10.98,18.55,2.00,54,35,32,1,-1,2020-09-09 09:57:38.261105+00:00
27,28,6,22,24,10,0,0.61,3.44,6.61,24.18,2.00,2,35,29,56,-1,2020-09-09 09:58:36.297291+00:00
28,29,6,21,22,9,0,0.53,3.67,4.00,25.63,2.00,9,35,26,6,-1,2020-09-09 09:59:36.109323+00:00
29,30,6,21,21,11,0,0.84,4.22,10.09,13.60,2.00,50,35,31,1,-1,2020-09-09 10:00:36.159510+00:00
30,31,7,22,24,11,0,0.42,3.60,10.07,9.50,2.00,46,29,31,50,-1,2020-09-09 10:01:35.249955+00:00
31,32,7,20,24,11,0,0.15,3.40,2.58,17.29,2.00,45,31,24,46,-1,2020-09-09 10:02:34.949562+00:00
32,33,6,20,24,11,0,0.51,3.14,7.14,14.24,2.00,48,29,29,45,-1,2020-09-09 10:03:36.299028+00:00
33,34,7,20,24,8,0,0.55,2.60,56.16,33.64,2.00,48,35,28,58,-1,2020-09-09 10:04:36.902696+00:00
34,35,7,21,24,7,0,0.27,2.25,4.00,11.35,2.00,45,32,30,1,-1,2020-09-09 10:05:36.267498+00:00
35,36,7,20,24,7,0,0.18,1.99,3.57,14.07,2.00,45,31,31,46,-1,2020-09-09 10:06:35.000324+00:00
36,37,7,19,23,6,0,0.19,2.75,12.84,16.22,2.00,51,35,24,50,-1,2020-09-09 10:07:34.653357+00:00
37,38,8,19,23,5,0,0.59,2.69,15.79,12.10,2.00,51,29,30,3,-1,2020-09-09 10:08:35.063518+00:00
38,39,6,16,23,4,0,0.23,1.76,13.29,35.11,2.00,51,33,30,62,-1,2020-09-09 10:09:36.439951+00:00
39,40,6,15,25,5,0,0.35,3.31,10.96,16.84,2.00,46,32,30,3,-1,2020-09-09 10:10:36.896811+00:00
40,41,6,14,26,7,1,0.35,7.44,4.25,9.42,2.00,46,33,30,7,-1,2020-09-09 10:11:36.301838+00:00
41,42,6,15,26,7,0,0.17,2.42,3.44,15.85,2.00,48,35,27,2,-1,2020-09-09 10:12:35.013731+00:00
42,43,4,19,27,8,0,0.37,3.39,15.84,34.60,2.00,48,36,33,63,-1,2020-09-09 10:13:34.878426+00:00
43,44,3,19,26,9,0,0.38,1.62,9.21,17.79,2.00,50,32,27,54,-1,2020-09-09 10:14:37.649621+00:00
44,45,3,20,25,8,0,0.86,2.59,21.14,16.33,2.00,3,31,34,7,-1,2020-09-09 10:15:37.593536+00:00
45,46,2,20,23,8,0,0.37,3.80,15.97,28.39,2.00,50,29,29,56,-1,2020-09-09 10:16:36.468260+00:00
46,47,2,20,23,9,0,0.86,6.50,8.85,27.54,2.00,54,36,26,3,-1,2020-09-09 10:17:36.309496+00:00
47,48,3,19,22,9,0,0.37,3.49,7.66,18.64,2.00,3,33,26,54,-1,2020-09-09 10:18:34.824085+00:00
48,49,4,19,21,8,0,0.42,6.51,11.05,16.53,2.00,6,40,28,6,-1,2020-09-09 10:19:36.090529+00:00
49,50,6,19,21,7,0,0.42,1.97,13.95,16.74,2.00,6,29,26,3,-1,2020-09-09 10:20:36.783823+00:00
50,51,6,18,22,7,0,0.27,1.73,4.35,12.80,2.00,46,27,30,48,-1,2020-09-09 10:21:34.948414+00:00
51,52,6,18,22,7,0,0.27,1.73,4.35,12.80,2.00,46,27,30,48,-1,2020-09-09 10:22:31.434054+00:00
52,53,6,18,22,7,0,0.27,1.73,4.35,12.80,2.00,46,27,30,48,-1,2020-09-09 10:23:32.193874+00:00
53,54,6,18,22,7,0,0.27,1.73,4.35,12.80,2.00,46,27,30,48,-1,2020-09-09 10:24:30.407043+00:00
54,55,6,18,22,7,0,0.27,1.73,4.35,12.80,2.00,46,27,30,48,-1,2020-09-09 10:25:33.151805+00:00
55,56,6,18,22,7,0,0.27,1.73,4.35,12.80,2.00,46,27,30,48,-1,2020-09-09 10:26:33.378821+00:00
56,57,6,18,22,7,0,0.27,1.73,4.35,12.80,2.00,46,27,30,48,-1,2020-09-09 10:27:33.545574+00:00
57,58,6,18,22,7,0,0.27,1.73,4.35,12.80,2.00,46,27,30,48,-1,2020-09-09 10:28:33.793388+00:00
58,59,4,18,25,5,0,0.42,5.22,9.69,24.73,2.00,9,37,30,58,-1,2020-09-09 10:29:34.923709+00:00
59,60,5,22,24,5,0,0.38,3.10,7.39,13.53,2.00,3,43,33,58,-1,2020-09-09 10:30:34.646352+00:00
60,61,6,23,22,5,0,1.20,8.52,4.59,18.61,2.00,48,33,30,63,-1,2020-09-09 10:31:34.857973+00:00
61,62,5,22,22,5,0,1.19,4.27,4.41,156.16,2.00,47,42,29,6,-1,2020-09-09 10:32:31.873431+00:00
62,63,5,21,22,3,0,0.93,8.61,14.38,156.91,2.00,47,32,31,62,-1,2020-09-09 10:33:33.721613+00:00
63,64,6,25,19,3,0,0.30,3.55,14.56,26.96,2.00,45,39,31,58,-1,2020-09-09 10:34:36.565911+00:00
64,65,6,25,22,4,0,0.28,6.39,3.02,24.32,2.00,3,37,23,62,-1,2020-09-09 10:35:38.208608+00:00
65,66,6,25,21,4,0,0.42,6.68,6.53,25.61,2.00,45,35,26,59,-1,2020-09-09 10:36:35.720606+00:00
66,67,6,24,20,4,0,0.39,3.78,6.33,25.37,2.00,3,31,26,61,-1,2020-09-09 10:37:36.769540+00:00
67,68,6,23,18,4,0,0.22,9.99,25.58,38.06,2.00,42,34,33,61,-1,2020-09-09 10:38:30.563164+00:00
68,69,7,25,20,3,0,0.20,3.06,1.93,36.21,2.00,40,36,24,58,-1,2020-09-09 10:39:35.681707+00:00
69,70,6,25,20,3,0,0.33,2.62,1.67,26.39,2.00,9,33,23,3,-1,2020-09-09 10:40:35.136988+00:00
70,71,7,27,23,3,0,0.28,3.38,6.53,44.17,2.00,3,36,32,60,-1,2020-09-09 10:41:33.115914+00:00
71,72,6,27,26,3,0,0.36,3.67,5.04,44.17,2.00,2,26,28,60,-1,2020-09-09 10:42:36.609173+00:00
